"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.370980751289908,0,19.9330615997314
"one.two.vb.mf",0.433729383477098,0,12.8459544181824
"one.two.vb.fr",0.428454667519804,0,16.2952823638916
"one.three.mcmc",0.451725284987309,0,27.8056252002716
"one.three.vb.mf",0.423207156280279,0,20.1869082450867
"one.three.vb.fr",0.493714984375543,0,24.2453820705414
"two.one.mcmc",3.04667791766454,0.0244,48.6781013011932
"two.one.vb.mf",0.583356451962166,0,21.1839144229889
"two.one.vb.fr",0.588285335972557,0,24.6628038883209
"two.two.mcmc",0.936922895351112,0.195555555555556,388.96074461937
"two.two.vb.mf",1.29339043163853,0.617777777777778,110.590508699417
"two.two.vb.fr",0.939752982044743,0.133333333333333,120.387536048889
"three.one.mcmc.base",Inf,0.062,20.0588030815125
"three.one.vb.base.mf",0.417014191549007,0,3.94565391540527
"three.one.vb.base.fr",0.458356579903738,0,4.95345902442932
"three.one.mcmc.partner",0.327211728958369,0,18.2670376300812
"three.one.vb.partner.mf",0.326803351386542,0,3.51790738105774
"three.one.vb.partner.fr",0.498173070820797,0,3.87210726737976
