"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.52836315962284,0,20.7389385700226
"one.two.vb.mf",0.424922332829015,0,13.0160081386566
"one.two.vb.fr",0.42627001309855,0,16.1063280105591
"one.three.mcmc",0.383937115654482,0,27.0909736156464
"one.three.vb.mf",0.353966243952987,0,20.6361651420593
"one.three.vb.fr",0.496378088965468,0,23.2670223712921
"two.one.mcmc",0.478436480809856,0,28.3607804775238
"two.one.vb.mf",0.458519982504418,0,22.4957234859467
"two.one.vb.fr",0.554184137097831,0,24.6857044696808
"two.two.mcmc",1.04232683670963,0.284444444444444,438.935851097107
"two.two.vb.mf",1.02022085198643,0.0977777777777778,109.672710418701
"two.two.vb.fr",1.03005038378401,0.137777777777778,127.889410018921
"three.one.mcmc.base",0.373698553788898,0,17.4056346416473
"three.one.vb.base.mf",0.44144055789033,0,4.51800417900085
"three.one.vb.base.fr",0.599784232514485,0,5.17254209518433
"three.one.mcmc.partner",0.429449720349382,0,16.7106475830078
"three.one.vb.partner.mf",0.278815891638476,0,4.97917556762695
"three.one.vb.partner.fr",0.370112418528817,0,4.29557800292969
