"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.435946392569926,0,19.7168962955475
"one.two.vb.mf",0.480073008441329,0,12.8373866081238
"one.two.vb.fr",0.400616616740213,0,16.5089938640594
"one.three.mcmc",0.373262513017917,0,27.3701131343842
"one.three.vb.mf",0.351004658680577,0,19.8645126819611
"one.three.vb.fr",0.4968880216151,0,22.5510759353638
"two.one.mcmc",0.95591169785902,0.0024,33.0321395397186
"two.one.vb.mf",0.787851419542297,0.0016,20.6360931396484
"two.one.vb.fr",0.923446700153082,0.0024,24.9822080135345
"two.two.mcmc",1.0081085929479,0.293333333333333,504.497218132019
"two.two.vb.mf",1.19493307361246,0.644444444444444,106.654554128647
"two.two.vb.fr",1.05288650931943,0.106666666666667,126.953862190247
"three.one.mcmc.base",Inf,0.034,18.237517118454
"three.one.vb.base.mf",0.382173130886647,0,3.79951453208923
"three.one.vb.base.fr",0.385902372797288,0,4.64736795425415
"three.one.mcmc.partner",Inf,0.031,18.0462629795074
"three.one.vb.partner.mf",0.295778397520419,0,3.37872958183289
"three.one.vb.partner.fr",0.347882370778784,0,5.81618332862854
