"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.400410615153731,0,20.5963289737701
"one.two.vb.mf",0.476284792397512,0,14.1441216468811
"one.two.vb.fr",0.525837918736323,0,19.4560661315918
"one.three.mcmc",0.442393910930031,0,26.5240330696106
"one.three.vb.mf",0.38184638815687,0,20.5146803855896
"one.three.vb.fr",0.389959120470792,0,23.5770840644836
"two.one.mcmc",0.441531294275624,0,28.4708843231201
"two.one.vb.mf",0.510048298726057,0,20.9196116924286
"two.one.vb.fr",0.770638717333679,4e-04,25.0526237487793
"two.two.mcmc",1.037814003539,0.28,336.933189868927
"two.two.vb.mf",1.31789110795787,0.644444444444444,109.327128171921
"two.two.vb.fr",0.967835582056758,0.106666666666667,125.063014030457
"three.one.mcmc.base",0.463479912314957,0,18.7050681114197
"three.one.vb.base.mf",0.374794420543129,0,5.07600069046021
"three.one.vb.base.fr",0.428344558425099,0,4.96768617630005
"three.one.mcmc.partner",2.37310771811666,0.004,17.4446516036987
"three.one.vb.partner.mf",0.347276323129662,0,4.69352459907532
"three.one.vb.partner.fr",0.401188185452951,0,4.36531805992126
