"model","parameter","ci_lower","ci_upper","ci_width_mean","point_estimate","RMSE","CI_True","CI_False"
"one.two.mcmc","spp_int",-0.546137975250307,0.415967567396901,1.00978544131143,-0.125191347512051,0.236167449079312,48,2
"one.two.mcmc","spp_slp",-0.245699912956021,0.625933015601762,0.920145224788715,0.066129623631792,0.260069648788819,46,4
"one.two.vb.mf","spp_int",-0.594878925,0.41948065,1.038882369695,-0.122560627340582,0.230815581560655,48,2
"one.two.vb.mf","spp_slp",-0.200693675,0.595052925,0.94634881755,0.07166196204153,0.256534628629907,48,2
"one.two.vb.fr","spp_int",-0.57567795,0.435909775,1.0803390619,-0.125413152946886,0.238383996892426,48,2
"one.two.vb.fr","spp_slp",-0.26900575,0.64765245,1.00867447106,0.0653707179312174,0.260774548646284,49,1
"one.three.mcmc","spp_int",-0.635319530727292,0.306648002203144,0.979866130668677,-0.170292176577137,0.241097384892267,47,3
"one.three.mcmc","spp_slp",-0.21013277909263,0.614521721295365,0.882092008150559,0.0911890307093368,0.20136855027807,48,2
"one.three.mcmc","mean_int",-0.421547498232531,0.0790760094203132,0.500623507652844,-0.173287825832935,NA,NA,NA
"one.three.mcmc","mean_slp",-0.416164020418313,0.322625302132882,0.738789322551195,-0.0255332164983468,NA,NA,NA
"one.three.mcmc","lam_int",0.0204539549629636,0.724762804212319,0.704308849249355,0.286087546889391,NA,NA,NA
"one.three.mcmc","lam_slp",0.399086858850077,0.986662790031826,0.587575931181749,0.793049200173353,NA,NA,NA
"one.three.mcmc","null_int",0.0310296785421593,0.126260369569424,0.0952306910272652,0.0659238491797923,NA,NA,NA
"one.three.mcmc","null_slp",0.0598572555435806,0.203564923502974,0.143707667959394,0.114243393882571,NA,NA,NA
"one.three.vb.mf","spp_int",-0.616230125,0.33255705,1.0092691174,-0.175118604029008,0.246785682045644,48,2
"one.three.vb.mf","spp_slp",-0.27108855,0.59754055,0.925503603235,0.0907652916908742,0.21484915749168,49,1
"one.three.vb.mf","mean_int",-0.36826755,0.039997035,0.408264585,-0.172554547754,NA,NA,NA
"one.three.vb.mf","mean_slp",-0.428197575,0.341858675,0.77005625,-0.031639918084,NA,NA,NA
"one.three.vb.mf","lam_int",0.034581285,0.62357805,0.588996765,0.2423175798,NA,NA,NA
"one.three.vb.mf","lam_slp",0.491167425,0.88964515,0.398477725,0.722110434,NA,NA,NA
"one.three.vb.mf","null_int",0.043285265,0.0995615375,0.0562762725,0.0680964393,NA,NA,NA
"one.three.vb.mf","null_slp",0.07144931,0.1712658,0.09981649,0.1140483956,NA,NA,NA
"one.three.vb.fr","spp_int",-0.6383466,0.464434675,1.190017251845,-0.167722601554706,0.256226247359472,49,1
"one.three.vb.fr","spp_slp",-0.452205975,0.613707575,1.07946591704,0.11025598279279,0.251082436977462,49,1
"one.three.vb.fr","mean_int",-0.53319725,0.419366275,0.952563525,-0.086133279524,NA,NA,NA
"one.three.vb.fr","mean_slp",-0.70039945,0.491674575,1.192074025,-0.0826151303164,NA,NA,NA
"one.three.vb.fr","lam_int",0.120033525,0.890302725,0.7702692,0.5258224669,NA,NA,NA
"one.three.vb.fr","lam_slp",0.4279386,0.952436425,0.524497825,0.758077396,NA,NA,NA
"one.three.vb.fr","null_int",0.0860569025,0.367873175,0.2818162725,0.1987096343,NA,NA,NA
"one.three.vb.fr","null_slp",0.110262425,0.4694908,0.359228375,0.2448233712,NA,NA,NA
"two.one.mcmc","spp_int",-0.770523114528821,0.185293336441168,1.002916736639,-0.134624175835152,0.257707955343748,48,2
"two.one.mcmc","spp_slp",-1.12286462456842,-0.19538111703999,0.936396517136401,0.0193077479538168,0.236402656699241,48,2
"two.one.mcmc","mean_int",-0.353458908065748,0.10024891086817,0.453707818933919,-0.130283703801857,NA,NA,NA
"two.one.mcmc","mean_slp",-0.118275427870799,0.199337807318847,0.317613235189646,0.0310656191061948,NA,NA,NA
"two.one.mcmc","phy_int",0.000539371714835057,0.0841415735426906,0.0836022018278556,0.0211389941466867,NA,NA,NA
"two.one.mcmc","phy_slp",0.000192752917185968,0.0375406420322248,0.0373478891150388,0.00811889840235963,NA,NA,NA
"two.one.mcmc","invphy_int",0.000473130409895454,0.0843028946723412,0.0838297642624457,0.0232012459492437,NA,NA,NA
"two.one.mcmc","invphy_slp",0.0544763611394959,0.264727892493336,0.21025153135384,0.136170146634613,NA,NA,NA
"two.one.mcmc","null_int",0.021163101077816,0.273180391147566,0.25201729006975,0.128470844584515,NA,NA,NA
"two.one.mcmc","null_slp",0.0011027208565477,0.189176622674374,0.188073901817827,0.0534217700284171,NA,NA,NA
"two.one.vb.mf","spp_int",-0.852134975,0.23015215,1.035369018935,-0.129370300455902,0.257898308332522,48,2
"two.one.vb.mf","spp_slp",-1.13575725,-0.2352136,0.979673396385,0.0074143937977044,0.238964972468203,48,2
"two.one.vb.mf","mean_int",-0.325484225,0.0464301975,0.3719144225,-0.1393282790831,NA,NA,NA
"two.one.vb.mf","mean_slp",-0.116787125,0.18886445,0.305651575,0.036812352748,NA,NA,NA
"two.one.vb.mf","phy_int",0.002218897,0.0792511,0.077032203,0.019158811717,NA,NA,NA
"two.one.vb.mf","phy_slp",0.00143265775,0.043021235,0.04158857725,0.011409493955,NA,NA,NA
"two.one.vb.mf","invphy_int",0.0022816455,0.0739328299999999,0.0716511845,0.020802198156,NA,NA,NA
"two.one.vb.mf","invphy_slp",0.0758614575,0.2309825,0.1551210425,0.1368571818,NA,NA,NA
"two.one.vb.mf","null_int",0.0853029425,0.279857475,0.1945545325,0.162383559,NA,NA,NA
"two.one.vb.mf","null_slp",0.01619482,0.19903685,0.18284203,0.0699879024,NA,NA,NA
"two.one.vb.fr","spp_int",-0.960925025,0.38103055,1.2739510835,-0.133956078277536,0.288346723175602,49,1
"two.one.vb.fr","spp_slp",-1.8964685,-0.36767685,1.18450251114,0.0375585963023782,0.345122137042946,48,2
"two.one.vb.fr","mean_int",-0.5945616,0.443672825,1.038234425,-0.067730142417,NA,NA,NA
"two.one.vb.fr","mean_slp",-0.88090205,0.899844999999999,1.78074705,0.014655723053,NA,NA,NA
"two.one.vb.fr","phy_int",0.0412443475,0.4430528,0.4018084525,0.1593945263,NA,NA,NA
"two.one.vb.fr","phy_slp",0.570782975,2.0346765,1.463893525,1.142799941,NA,NA,NA
"two.one.vb.fr","invphy_int",0.245338925,1.32370875,1.078369825,0.632940023,NA,NA,NA
"two.one.vb.fr","invphy_slp",0.0190240725,0.319638575,0.3006145025,0.1024155401,NA,NA,NA
"two.one.vb.fr","null_int",0.05531745,0.72310105,0.6677836,0.2527992898,NA,NA,NA
"two.one.vb.fr","null_slp",0.0454773675,0.86273205,0.8172546825,0.2532375208,NA,NA,NA
"two.two.mcmc","null_sites",2.24555652576752,9.84648768375173,7.60093115798421,6.59702222355356,NA,NA,NA
"two.two.mcmc","inv_sites",0.0548979377459344,7.3684223606864,7.31352442294047,2.0444230541539,NA,NA,NA
"two.two.vb.mf","null_sites",6.633952,9.675589,3.041637,8.69662994,NA,NA,NA
"two.two.vb.mf","inv_sites",0.167583425,7.279513,7.111929575,2.2771639437,NA,NA,NA
"two.two.vb.fr","null_sites",3.1488395,5.622357,2.4735175,4.40328733,NA,NA,NA
"two.two.vb.fr","inv_sites",0.11951115,5.687544,5.56803285,1.5568165909,NA,NA,NA
"three.one.mcmc.base","spp_int",1.31558718849259,2.74868980421562,0.998680601097382,0.129574652652774,0.790530507489998,3,7
"three.one.mcmc.base","spp_slp",-0.0512026062276068,1.68994320852131,1.15951008820813,0.167701045236702,0.667543779583787,6,4
"three.one.mcmc.base","partner_int",-0.0582220588783483,0.0992885556364743,0.130566171656586,0.00638838190936088,0.467079134037002,1,9
"three.one.mcmc.base","mean_int",-0.417361591498125,0.818210589761044,1.23557218125917,0.195698820231827,NA,NA,NA
"three.one.mcmc.base","mean_slp",-0.510158300802979,0.750442671017181,1.26060097182016,0.121035167252024,NA,NA,NA
"three.one.mcmc.base","lam_int",0.0479674188025532,0.914889163139294,0.866921744336741,0.455622671645707,NA,NA,NA
"three.one.mcmc.base","lam_slp",0.0256553391616333,0.957413279879507,0.931757940717874,0.425371476634415,NA,NA,NA
"three.one.mcmc.base","null_int",0.14989410937874,0.854176840264876,0.704282730886135,0.396855470179751,NA,NA,NA
"three.one.mcmc.base","null_slp",0.0758395754150969,0.668202130400655,0.592362554985558,0.306765445236942,NA,NA,NA
"three.one.mcmc.base","mean_partner_int",-0.0440309315110329,0.0734800500705735,0.117510981581606,0.00647813392778542,NA,NA,NA
"three.one.mcmc.base","lam_partner_int",0.0232122306189847,0.926477715621966,0.903265485002981,0.41388101393648,NA,NA,NA
"three.one.mcmc.base","null_partner_int",1.18726034237911e-05,0.00191373696685,0.00190186436342621,0.000362100458008812,NA,NA,NA
"three.one.vb.base.mf","spp_int",1.46986575,2.66656175,0.867793801325,0.13732320789553,0.796326053151202,2,8
"three.one.vb.base.mf","spp_slp",-0.063132775,1.526915,1.1905881229,0.1456858492665,0.701370890773435,6,4
"three.one.vb.base.mf","partner_int",-0.07048438,0.11877795,0.11867872075,0.0072158318477599,0.466492907503285,1,9
"three.one.vb.base.mf","mean_int",-0.368654,0.94809555,1.31674955,0.281401784523,NA,NA,NA
"three.one.vb.base.mf","mean_slp",-0.450449175,0.72310165,1.173550825,0.155364428106,NA,NA,NA
"three.one.vb.base.mf","lam_int",0.043213415,0.943005275,0.89979186,0.46416256668,NA,NA,NA
"three.one.vb.base.mf","lam_slp",0.03127074,0.887286475,0.856015735,0.40867836361,NA,NA,NA
"three.one.vb.base.mf","null_int",0.1727421,0.857921275,0.685179175,0.4275643656,NA,NA,NA
"three.one.vb.base.mf","null_slp",0.12397175,0.690967725,0.566995975,0.3219822545,NA,NA,NA
"three.one.vb.base.mf","mean_partner_int",-0.0421864325,0.0388912475,0.08107768,0.0008837852975,NA,NA,NA
"three.one.vb.base.mf","lam_partner_int",0.0389696075,0.836667825,0.7976982175,0.36336727889,NA,NA,NA
"three.one.vb.base.mf","null_partner_int",0.000501685625,0.0033205045,0.002818818875,0.001499874914,NA,NA,NA
"three.one.vb.base.fr","spp_int",0.9625055,2.75724325,1.49720224275,-0.080948865437372,0.912637756628034,3,7
"three.one.vb.base.fr","spp_slp",-0.141409375,1.67783125,1.31224786175,0.15493058021846,0.670665620885007,7,3
"three.one.vb.base.fr","partner_int",-0.275480425,0.5646889,0.3659969875,0.05795046651838,0.506268857835105,1,9
"three.one.vb.base.fr","mean_int",-0.7161487,0.8696754,1.5858241,0.11322133959,NA,NA,NA
"three.one.vb.base.fr","mean_slp",-0.542435875,0.7610898,1.303525675,0.107842033888,NA,NA,NA
"three.one.vb.base.fr","lam_int",0.0783394875,0.95195655,0.8736170625,0.5283005333,NA,NA,NA
"three.one.vb.base.fr","lam_slp",0.0314008375,0.92578785,0.8943870125,0.42738440474,NA,NA,NA
"three.one.vb.base.fr","null_int",0.148268975,0.9663296,0.818060625,0.4330927062,NA,NA,NA
"three.one.vb.base.fr","null_slp",0.1001502125,0.80790655,0.7077563375,0.3239086806,NA,NA,NA
"three.one.vb.base.fr","mean_partner_int",-0.139190275,0.32523145,0.464421725,0.094664011507,NA,NA,NA
"three.one.vb.base.fr","lam_partner_int",0.07850914,0.965165025,0.886655885,0.55712067853,NA,NA,NA
"three.one.vb.base.fr","null_partner_int",0.00296147975,0.04188523,0.03892375025,0.01356630121,NA,NA,NA
"three.one.mcmc.partner","spp_int",-0.228406629120933,1.24241134605674,1.52399129525802,0.721016990483358,NA,NA,NA
"three.one.mcmc.partner","spp_slp",-0.354703103569652,0.407291783378378,0.762625642614842,0.116699108165847,NA,NA,NA
"three.one.mcmc.partner","partner_int",-0.314452010275451,1.14125751581139,0.443285685500076,-0.167553525262798,0.200839223686597,7,3
