"model","parameter","ci_lower","ci_upper","ci_width_mean","point_estimate","RMSE","CI_True","CI_False"
"one.two.mcmc","spp_int",-0.539483640384663,0.409538569854097,1.00377297800591,-0.142502497562925,0.242647268293603,48,2
"one.two.mcmc","spp_slp",-0.72815070716071,0.328005710904926,1.11379367292914,0.0956283869906739,0.299845926104668,46,4
"one.two.vb.mf","spp_int",-0.571257225,0.3925825,1.030478827437,-0.13562567344867,0.247514407051882,48,2
"one.two.vb.mf","spp_slp",-0.7658773,0.340567375,1.1623933438,0.098528121906516,0.297053721636604,47,3
"one.two.vb.fr","spp_int",-0.56855275,0.47164695,1.06788468196,-0.142930027393344,0.242852483160905,49,1
"one.two.vb.fr","spp_slp",-0.869027475,0.42646845,1.24623173025,0.097797582181224,0.300078181141328,47,3
"one.three.mcmc","spp_int",-0.562777579021261,0.461302910101331,0.946959201599922,-0.188563053382442,0.245715952964934,49,1
"one.three.mcmc","spp_slp",-0.726594772278935,0.28892507701096,1.15539592802997,0.138169674424436,0.286668753133735,48,2
"one.three.mcmc","mean_int",-0.396966254000105,0.032994536118604,0.429960790118709,-0.181030355767835,NA,NA,NA
"one.three.mcmc","mean_slp",-0.162143908420122,0.467238454366418,0.62938236278654,0.148341872370477,NA,NA,NA
"one.three.mcmc","lam_int",0.0265675471432809,0.765141472675238,0.738573925531957,0.33836450442316,NA,NA,NA
"one.three.mcmc","lam_slp",0.0789228252897835,0.979069798279885,0.900146972990102,0.568113378417065,NA,NA,NA
"one.three.mcmc","null_int",0.0283444350401987,0.113564740096259,0.0852203050560603,0.0636664086602295,NA,NA,NA
"one.three.mcmc","null_slp",0.0573257520898433,0.241370873203472,0.184045121113629,0.124528113277158,NA,NA,NA
"one.three.vb.mf","spp_int",-0.52191755,0.41160635,0.969767421565,-0.1899652184041,0.242581660319569,48,2
"one.three.vb.mf","spp_slp",-0.78599825,0.35969845,1.182757557775,0.13841791628153,0.304401547452745,48,2
"one.three.vb.mf","mean_int",-0.3588966,-0.0252889575000001,0.3336076425,-0.18157535403,NA,NA,NA
"one.three.vb.mf","mean_slp",-0.0647676825,0.45974215,0.5245098325,0.1974396251529,NA,NA,NA
"one.three.vb.mf","lam_int",0.06464513,0.6528483,0.58820317,0.284140686,NA,NA,NA
"one.three.vb.mf","lam_slp",0.1636392,0.73359815,0.56995895,0.4449775871,NA,NA,NA
"one.three.vb.mf","null_int",0.0459352375,0.106304425,0.0603691875,0.0710408314,NA,NA,NA
"one.three.vb.mf","null_slp",0.0824964825,0.18771415,0.1052176675,0.1276912501,NA,NA,NA
"one.three.vb.fr","spp_int",-0.51904075,0.584823975,1.18755184736,-0.17528311963973,0.298306854152796,49,1
"one.three.vb.fr","spp_slp",-0.7983723,0.58203665,1.4139382113,0.151506526146284,0.318910132047937,49,1
"one.three.vb.fr","mean_int",-0.614842825,0.3900432,1.004886025,-0.099717089861,NA,NA,NA
"one.three.vb.fr","mean_slp",-0.1666512,0.483577175,0.650228375,0.153357268021,NA,NA,NA
"one.three.vb.fr","lam_int",0.2629465,0.9398363,0.6768898,0.66930488,NA,NA,NA
"one.three.vb.fr","lam_slp",0.046900955,0.81869675,0.771795795,0.3720072269,NA,NA,NA
"one.three.vb.fr","null_int",0.134710675,0.65306835,0.518357675,0.3219721381,NA,NA,NA
"one.three.vb.fr","null_slp",0.0949779075,0.333144575,0.2381666675,0.1896587183,NA,NA,NA
"two.one.mcmc","spp_int",-0.743895989492789,0.29971903787094,0.981882839408412,-0.170055641944379,0.237206608256256,49,1
"two.one.mcmc","spp_slp",-1.23266860629949,0.0333426347736277,1.2059738071527,-0.0486325310094581,0.304651438273975,48,2
"two.one.mcmc","mean_int",-0.387789935307577,0.0231941483642657,0.410984083671843,-0.176143982279174,NA,NA,NA
"two.one.mcmc","mean_slp",-0.257559038942737,0.17539898783783,0.432958026780567,-0.0401385059401796,NA,NA,NA
"two.one.mcmc","phy_int",0.000754162562083696,0.0865989917337631,0.0858448291716794,0.0243845286774382,NA,NA,NA
"two.one.mcmc","phy_slp",0.000953416199636596,0.0758850225514275,0.0749316063517909,0.021783809077826,NA,NA,NA
"two.one.mcmc","invphy_int",0.000658667888019216,0.0730783959429086,0.0724197280548893,0.0193736101011194,NA,NA,NA
"two.one.mcmc","invphy_slp",0.024675754043667,0.222373698885122,0.197697944841455,0.0980257094204544,NA,NA,NA
"two.one.mcmc","null_int",0.00874456286749812,0.245040292041997,0.236295729174499,0.11230528823491,NA,NA,NA
