"model","parameter","ci_lower","ci_upper","ci_width_mean","point_estimate","RMSE","CI_True","CI_False"
"one.two.mcmc","spp_int",-1.2366325933423,-0.188719322707087,0.997834015279936,-0.0132967006025323,0.263205993905535,46,4
"one.two.mcmc","spp_slp",-0.452528835957547,0.751913544844283,1.10812414066368,-0.0103160926380285,0.264925278779347,48,2
"one.two.vb.mf","spp_int",-1.30402775,-0.152170525,1.04438154490825,-0.008704705080772,0.267131259986782,47,3
"one.two.vb.mf","spp_slp",-0.4923506,0.716145925,1.1717925809,-0.0100932076688846,0.265884630318964,48,2
"one.two.vb.fr","spp_int",-1.248212,-0.144237075,1.06734348087,-0.0116818170709766,0.267199589188093,47,3
"one.two.vb.fr","spp_slp",-0.5670385,0.7716664,1.2356152095,-0.007966254475172,0.266921332854337,49,1
"one.three.mcmc","spp_int",-1.39868639304099,-0.229945980898143,1.05847857913654,-0.0163615653334059,0.270891872489359,47,3
"one.three.mcmc","spp_slp",-0.411331286632041,0.613707357244821,0.895585422576257,-0.016550664518518,0.177232587187274,49,1
"one.three.mcmc","mean_int",-0.316770286365352,0.239020911184794,0.555791197550147,-0.0343171345679954,NA,NA,NA
"one.three.mcmc","mean_slp",-0.273043546840138,0.276730224550188,0.549773771390326,-0.00580539415780153,NA,NA,NA
"one.three.mcmc","lam_int",0.0058163817463089,0.580570499066255,0.574754117319946,0.195341617114969,NA,NA,NA
"one.three.mcmc","lam_slp",0.280708321834173,0.989838114955069,0.709129793120896,0.71493673620597,NA,NA,NA
"one.three.mcmc","null_int",0.0770769612428105,0.238802404414585,0.161725443171775,0.140104228820522,NA,NA,NA
"one.three.mcmc","null_slp",0.0184991968243702,0.106008598755375,0.0875094019310053,0.0507372891390828,NA,NA,NA
"one.three.vb.mf","spp_int",-1.3700145,-0.24452625,1.09937186505,-0.020520987147332,0.270683529825904,47,3
"one.three.vb.mf","spp_slp",-0.493192875,0.58322635,1.013915474945,-0.010964082491717,0.202224269340425,49,1
"one.three.vb.mf","mean_int",-0.305041525,0.2335488,0.538590325,-0.034090858416,NA,NA,NA
"one.three.vb.mf","mean_slp",-0.236778575,0.286790325,0.5235689,0.017478617176,NA,NA,NA
"one.three.vb.mf","lam_int",0.0200760975,0.58802175,0.5679456525,0.19404166294,NA,NA,NA
"one.three.vb.mf","lam_slp",0.256280375,0.7617305,0.505450125,0.512142577,NA,NA,NA
"one.three.vb.mf","null_int",0.08547943,0.203520525,0.118041095,0.1385177279,NA,NA,NA
"one.three.vb.mf","null_slp",0.0396569675,0.0970354425,0.057378475,0.0634518978,NA,NA,NA
"one.three.vb.fr","spp_int",-1.447937,-0.0444894675000001,1.196573285571,0.00540266129940159,0.27606564008721,49,1
"one.three.vb.fr","spp_slp",-0.453945225,0.830187975,1.3536453984,-0.00244199429399758,0.289045204921081,49,1
"one.three.vb.fr","mean_int",-0.640054475,0.523671875,1.16372635,-0.03162098136,NA,NA,NA
"one.three.vb.fr","mean_slp",-0.3326821,0.644853875,0.977535975,0.16031538735768,NA,NA,NA
"one.three.vb.fr","lam_int",0.287585675,0.901951725,0.61436605,0.644691614,NA,NA,NA
"one.three.vb.fr","lam_slp",0.1562384,0.7895268,0.6332884,0.4780967136,NA,NA,NA
"one.three.vb.fr","null_int",0.153474125,0.638285525,0.4848114,0.3361806856,NA,NA,NA
"one.three.vb.fr","null_slp",0.08540436,0.315468625,0.230064265,0.1740352655,NA,NA,NA
"two.one.mcmc","spp_int",-0.670835246613955,0.371359552263274,1.06534621456461,-0.0586113631138669,0.299189381647785,46,4
"two.one.mcmc","spp_slp",-0.488789462084672,0.523675318761801,1.2492487366595,-0.00698098101580987,0.321239145146768,49,1
"two.one.mcmc","mean_int",-0.455478471006589,0.261317000387397,0.716795471393986,-0.0821626999948132,NA,NA,NA
"two.one.mcmc","mean_slp",-0.24393981608888,0.307927619465301,0.551867435554181,0.0232905034995273,NA,NA,NA
"two.one.mcmc","phy_int",0.00192618666960311,0.179933262808515,0.178007076138911,0.0528517563361182,NA,NA,NA
"two.one.mcmc","phy_slp",0.00115197903345275,0.116498607510189,0.115346628476737,0.0319338596146144,NA,NA,NA
"two.one.mcmc","invphy_int",0.000559310282581278,0.0484860653153974,0.0479267550328161,0.0119936006298822,NA,NA,NA
"two.one.mcmc","invphy_slp",0.0189040689914216,0.168501634288304,0.149597565296883,0.0703189561828792,NA,NA,NA
"two.one.mcmc","null_int",0.0405171701253825,0.371566097063726,0.331048926938344,0.184201752292459,NA,NA,NA
