"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.401277708993187,0,20.4034516811371
"one.two.vb.mf",0.418921679565981,0,13.6691601276398
"one.two.vb.fr",0.464757999761455,0,15.379955291748
"one.three.mcmc",0.431198128320293,0,26.0973122119904
"one.three.vb.mf",0.409430964556125,0,20.1588227748871
"one.three.vb.fr",0.503762963260878,0,26.1921775341034
"two.one.mcmc",0.594572740858474,0,30.9612765312195
"two.one.vb.mf",0.818563438984022,4e-04,21.7379319667816
"two.one.vb.fr",0.638447183850966,0,25.314887046814
"two.two.mcmc",0.992678395489774,0.226666666666667,431.20570230484
"two.two.vb.mf",1.16011498920778,0.568888888888889,111.945958614349
"two.two.vb.fr",0.868360559042924,0.111111111111111,125.619213104248
"three.one.mcmc.base",Inf,0.068,18.403671503067
"three.one.vb.base.mf",0.518185186620375,0,5.18149518966675
"three.one.vb.base.fr",0.500572433151131,0,7.41235899925232
"three.one.mcmc.partner",0.526089640874537,0,16.7181086540222
"three.one.vb.partner.mf",0.36741298691879,0,3.96038746833801
"three.one.vb.partner.fr",0.348968777804244,0,4.57426810264587
