"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.411219095923458,0,20.9423553943634
"one.two.vb.mf",0.394957485136856,0,13.2008669376373
"one.two.vb.fr",0.494528547814174,0,16.1005275249481
"one.three.mcmc",0.372830612543332,0,26.6949746608734
"one.three.vb.mf",0.383722217339668,0,19.4019763469696
"one.three.vb.fr",0.539120262895346,0,23.5344278812408
"two.one.mcmc",0.463159231314594,0,29.4982132911682
"two.one.vb.mf",0.400546956062786,0,22.2886354923248
"two.one.vb.fr",0.447514215981305,0,24.8369636535645
"two.two.mcmc",1.04130212260789,0.368888888888889,535.96990942955
"two.two.vb.mf",1.16588888624421,0.617777777777778,105.695242881775
"two.two.vb.fr",0.990979066262363,0.173333333333333,121.482921361923
"three.one.mcmc.base",0.560657580129199,0,17.275577545166
"three.one.vb.base.mf",0.506789030091387,0,5.49757766723633
"three.one.vb.base.fr",0.73863257286722,0.003,4.29828572273254
"three.one.mcmc.partner",0.340881681687043,0,16.8712680339813
"three.one.vb.partner.mf",0.367864610256004,0,3.6013011932373
"three.one.vb.partner.fr",0.313041455096748,0,4.4861626625061
