"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.404471450444949,0,20.2234554290771
"one.two.vb.mf",0.444756688551991,0,13.7979512214661
"one.two.vb.fr",0.482764767031909,0,16.4124660491943
"one.three.mcmc",0.44988693219197,0,25.4626195430756
"one.three.vb.mf",0.410958748141766,0,19.5677711963654
"one.three.vb.fr",0.548713616711318,0,26.9869253635406
"two.one.mcmc",0.474640639871728,0,26.8705372810364
"two.one.vb.mf",0.623553551899405,0,19.8743364810944
"two.one.vb.fr",NA,NA,NA
"two.two.mcmc",1.04122011786251,0.253333333333333,452.299465417862
"two.two.vb.mf",1.16933427737378,0.626666666666667,112.65238904953
"two.two.vb.fr",0.969090599432212,0.182222222222222,127.147189617157
"three.one.mcmc.base",0.555535760257659,0,16.8796226978302
"three.one.vb.base.mf",0.408775187075658,0,4.25554037094116
"three.one.vb.base.fr",0.415906770214023,0,5.09467220306396
"three.one.mcmc.partner",Inf,0.01,18.3307785987854
"three.one.vb.partner.mf",0.291725180428883,0,4.38140201568604
"three.one.vb.partner.fr",0.379529301627125,0,3.7491602897644
