"model","parameter","ci_lower","ci_upper","ci_width_mean","point_estimate","RMSE","CI_True","CI_False"
"one.two.mcmc","spp_int",-0.359317118458917,0.725231658197239,1.00818918879553,0.139326395976676,0.22382040491134,50,0
"one.two.mcmc","spp_slp",-0.840298582869712,0.135949598643292,1.00278176369492,0.131446239049792,0.252893415577087,47,3
"one.two.vb.mf","spp_int",-0.3853884,0.697700225,1.02612111429,0.141806249587456,0.21582507524476,50,0
"one.two.vb.mf","spp_slp",-0.931382825,0.0426340099999998,1.04802659715,0.134508539825977,0.253687714952681,48,2
"one.two.vb.fr","spp_int",-0.39724,0.7299133,1.061774411095,0.138329619649359,0.227133079147494,50,0
"one.two.vb.fr","spp_slp",-0.895478975,0.1662032,1.1001408991,0.130976985296703,0.252131992354209,48,2
"one.three.mcmc","spp_int",-0.244822810874287,0.60452798637012,0.879469192203922,0.179234500304388,0.251943895191701,46,4
"one.three.mcmc","spp_slp",-0.652602332384509,0.117824653381682,0.728165412057745,0.166617116817373,0.197065360489033,47,3
"one.three.mcmc","mean_int",-0.0167370343636107,0.349260561488309,0.365997595851919,0.170260254324297,NA,NA,NA
"one.three.mcmc","mean_slp",-0.139205230730736,0.335703506628593,0.474908737359329,0.0942636709566549,NA,NA,NA
"one.three.mcmc","lam_int",0.0147088321378028,0.702435108789067,0.687726276651264,0.257658857463221,NA,NA,NA
"one.three.mcmc","lam_slp",0.488578528089056,0.995608541780108,0.507030013691052,0.840689732960983,NA,NA,NA
"one.three.mcmc","null_int",0.0197938358569004,0.0966140138325203,0.0768201779756199,0.0479009649362398,NA,NA,NA
"one.three.mcmc","null_slp",0.0152189884193312,0.0881044850743073,0.0728854966549761,0.0428797446712288,NA,NA,NA
"one.three.vb.mf","spp_int",-0.205300825,0.670109,0.92011972325,0.181133850611464,0.245026830622321,47,3
"one.three.vb.mf","spp_slp",-0.70664375,0.0806233949999998,0.82002797621,0.167102554887028,0.201889808887121,48,2
"one.three.vb.mf","mean_int",0.017529625,0.348363375,0.33083375,0.18571750574,NA,NA,NA
"one.three.vb.mf","mean_slp",-0.1543249,0.277280425,0.431605325,0.06521868276945,NA,NA,NA
"one.three.vb.mf","lam_int",0.0318137075,0.579768425,0.5479547175,0.2124034296,NA,NA,NA
"one.three.vb.mf","lam_slp",0.349042925,0.849815925,0.500773,0.618313221,NA,NA,NA
"one.three.vb.mf","null_int",0.03605273,0.08084767,0.04479494,0.0552185611,NA,NA,NA
"one.three.vb.mf","null_slp",0.0332914775,0.085365155,0.0520736775,0.0540713658,NA,NA,NA
"one.three.vb.fr","spp_int",-0.441269325,0.741292825,1.17509786475,0.188474519034894,0.249567142477471,50,0
"one.three.vb.fr","spp_slp",-1.02980025,0.100983825,1.185347348555,0.139319551134476,0.28281176995558,49,1
"one.three.vb.fr","mean_int",-0.2574658,0.56409965,0.82156545,0.151037406425,NA,NA,NA
"one.three.vb.fr","mean_slp",-0.454349775,0.706552925,1.1609027,0.1296307490221,NA,NA,NA
"one.three.vb.fr","lam_int",0.086427075,0.8629416,0.776514525,0.4570476944,NA,NA,NA
"one.three.vb.fr","lam_slp",0.38881455,0.96219605,0.5733815,0.765838507,NA,NA,NA
"one.three.vb.fr","null_int",0.097742865,0.439029275,0.34128641,0.2260307885,NA,NA,NA
"one.three.vb.fr","null_slp",0.133014375,0.590580925,0.45756655,0.2949464352,NA,NA,NA
"two.one.mcmc","spp_int",-0.268932616540962,0.646418056644291,1.00294232417429,0.184165811008563,0.255119204343866,47,3
"two.one.mcmc","spp_slp",-0.668951723420977,0.246699622158191,0.967469792565858,-0.0205880792535692,0.240646593486501,48,2
"two.one.mcmc","mean_int",-0.0969970599526464,0.382835858864479,0.479832918817125,0.160794137598993,NA,NA,NA
"two.one.mcmc","mean_slp",-0.165687021773841,0.117572431093231,0.283259452867072,-0.0188361484109595,NA,NA,NA
"two.one.mcmc","phy_int",0.0012598263982491,0.117817061901711,0.116557235503462,0.0307426465348392,NA,NA,NA
"two.one.mcmc","phy_slp",0.000229682641755435,0.0356123166171403,0.0353826339753849,0.00867091695799195,NA,NA,NA
"two.one.mcmc","invphy_int",0.000742593839510248,0.0750639663689441,0.0743213725294339,0.0212994558290331,NA,NA,NA
"two.one.mcmc","invphy_slp",0.0270433419688656,0.113893737366908,0.0868503953980421,0.0619742019256281,NA,NA,NA
"two.one.mcmc","null_int",0.0156737255865625,0.259734171795061,0.244060446208498,0.118277135664968,NA,NA,NA
"two.one.mcmc","null_slp",0.000915410121912622,0.108927349971653,0.10801193984974,0.0276488157816049,NA,NA,NA
"two.one.vb.mf","spp_int",-0.318518125,0.635202625,1.040239654465,0.18681639735586,0.257728794343248,47,3
"two.one.vb.mf","spp_slp",-0.635647875,0.19157685,0.99868351085,-0.015199475876688,0.243633427993131,48,2
"two.one.vb.mf","mean_int",-0.059098775,0.36274475,0.421843525,0.148073598492,NA,NA,NA
"two.one.vb.mf","mean_slp",-0.1458065,0.12209955,0.26790605,-0.0078615311928,NA,NA,NA
"two.one.vb.mf","phy_int",0.0034199415,0.1389003,0.1354803585,0.032846397441,NA,NA,NA
"two.one.vb.mf","phy_slp",0.002925726,0.0442995525,0.0413738265,0.01377390188,NA,NA,NA
"two.one.vb.mf","invphy_int",0.00228422125,0.0713253824999999,0.0690411612499999,0.018956503964,NA,NA,NA
"two.one.vb.mf","invphy_slp",0.031262975,0.111128925,0.07986595,0.0625608149,NA,NA,NA
"two.one.vb.mf","null_int",0.0808825325,0.2797652,0.1988826675,0.1565437655,NA,NA,NA
"two.one.vb.mf","null_slp",0.0082520485,0.151032475,0.1427804265,0.04641006973,NA,NA,NA
"two.one.vb.fr","spp_int",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","spp_slp",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","mean_int",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","mean_slp",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","phy_int",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","phy_slp",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","invphy_int",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","invphy_slp",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","null_int",NA,NA,NA,NA,NA,NA,NA
"two.one.vb.fr","null_slp",NA,NA,NA,NA,NA,NA,NA
"two.two.mcmc","null_sites",1.28281505958519,9.85816281983029,8.5753477602451,6.4596578300787,NA,NA,NA
"two.two.mcmc","inv_sites",0.0754837646579688,8.90443664262962,8.82895287797165,2.86570816409802,NA,NA,NA
"two.two.vb.mf","null_sites",6.79289825,9.6586365,2.86573825,8.71076345,NA,NA,NA
"two.two.vb.mf","inv_sites",0.190229225,8.6429595,8.452730275,3.0654175267,NA,NA,NA
"two.two.vb.fr","null_sites",2.959609,5.227951,2.268342,4.08779262,NA,NA,NA
"two.two.vb.fr","inv_sites",0.169166775,7.19815775,7.028990975,2.120449965,NA,NA,NA
"three.one.mcmc.base","spp_int",0.333395701807062,1.46552568931177,1.10051885370251,0.319639347183876,0.770480587748077,5,5
"three.one.mcmc.base","spp_slp",-0.274799334608258,0.497130366428125,0.821885297095034,0.266676750637307,0.486564157441332,5,5
"three.one.mcmc.base","partner_int",-0.106159221881151,0.102435014018271,0.14142195483612,0.00489215843076734,0.215436670462822,1,9
"three.one.mcmc.base","mean_int",-0.313920475538172,0.908227601772153,1.22214807731033,0.263800026792246,NA,NA,NA
"three.one.mcmc.base","mean_slp",-0.244902211584934,0.679538711989154,0.924440923574087,0.232137601506916,NA,NA,NA
"three.one.mcmc.base","lam_int",0.0108427494442446,0.660101429608065,0.649258680163821,0.251701653181753,NA,NA,NA
"three.one.mcmc.base","lam_slp",0.0320166456751167,0.829198155947166,0.797181510272049,0.372544922025997,NA,NA,NA
"three.one.mcmc.base","null_int",0.267734978522837,1.0402279135854,0.772492935062562,0.582507006328805,NA,NA,NA
"three.one.mcmc.base","null_slp",0.100206699190324,0.781978938574826,0.681772239384502,0.319683752878702,NA,NA,NA
"three.one.mcmc.base","mean_partner_int",-0.0737538339018926,0.0701150354459951,0.143868869347888,0.00403954452651423,NA,NA,NA
"three.one.mcmc.base","lam_partner_int",0.0271157417400283,0.954327259631722,0.927211517891694,0.431742778210785,NA,NA,NA
"three.one.mcmc.base","null_partner_int",1.10285022552673e-05,0.0044178777361885,0.00440684923393323,0.000800129270921655,NA,NA,NA
"three.one.vb.base.mf","spp_int",0.3920748,1.3153785,0.8695292295,0.3147414798929,0.774195561550905,4,6
