"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.351385621037433,0,20.5258643627167
"one.two.vb.mf",0.428274246145862,0,13.2531116008759
"one.two.vb.fr",0.455064200367221,0,16.4140179157257
"one.three.mcmc",0.415645783281471,0,25.2719483375549
"one.three.vb.mf",0.453324012201668,0,19.1295464038849
"one.three.vb.fr",0.509072010176595,0,25.7949633598328
"two.one.mcmc",0.48521838982233,0,30.1382939815521
"two.one.vb.mf",0.521983722284202,0,21.1571102142334
"two.one.vb.fr",0.534215040718497,0,26.0147662162781
"two.two.mcmc",0.957384152118756,0.231111111111111,739.259100914001
"two.two.vb.mf",1.23096034382889,0.631111111111111,105.646129131317
"two.two.vb.fr",1.00371377546773,0.2,124.589397668839
"three.one.mcmc.base",0.334512579461094,0,18.4151372909546
"three.one.vb.base.mf",0.358486050255557,0,4.85560250282288
"three.one.vb.base.fr",0.446754795365638,0,5.70748829841614
"three.one.mcmc.partner",Inf,0.015,17.6395666599274
"three.one.vb.partner.mf",0.283982209766468,0,4.58852386474609
"three.one.vb.partner.fr",0.430561581712645,0,7.32810616493225
