"model","parameter","ci_lower","ci_upper","ci_width_mean","point_estimate","RMSE","CI_True","CI_False"
"one.two.mcmc","spp_int",-0.514306617572444,0.585566370941114,1.00646495220361,-0.00983582581019678,0.180013741285926,50,0
"one.two.mcmc","spp_slp",-1.71420074032012,-0.496050859058536,0.991469962810065,-0.107621931977491,0.250335711021004,48,2
"one.two.vb.mf","spp_int",-0.485407,0.61731735,1.02020164365,-0.0062682015662794,0.182437173516287,50,0
"one.two.vb.mf","spp_slp",-1.60855575,-0.5205785,1.009045217635,-0.102674330612606,0.263018476846489,49,1
"one.two.vb.fr","spp_int",-0.51438755,0.58826845,1.068925256495,-0.009486247539096,0.179281858050985,50,0
"one.two.vb.fr","spp_slp",-1.674164,-0.465172325,1.069216001035,-0.107020115285696,0.255287133096684,49,1
"one.three.mcmc","spp_int",-0.307220211747666,0.380293949860728,0.640944259659127,-0.0198672571761018,0.261388351097381,43,7
"one.three.mcmc","spp_slp",-1.19717790233199,-0.193455516676416,0.739594560033994,-0.138407167758017,0.223612363183449,47,3
"one.three.mcmc","mean_int",-0.157518201370897,0.107069704209063,0.26458790557996,-0.0260862232253263,NA,NA,NA
"one.three.mcmc","mean_slp",-0.309681852202506,0.139392254662613,0.44907410686512,-0.100107026119047,NA,NA,NA
"one.three.mcmc","lam_int",0.0175513805474626,0.892856427849696,0.875305047302233,0.334877607246634,NA,NA,NA
"one.three.mcmc","lam_slp",0.203861150782685,0.983115228263628,0.779254077480943,0.684299572350211,NA,NA,NA
"one.three.mcmc","null_int",0.000652447737605042,0.0324306937778347,0.0317782460402297,0.0122721196896708,NA,NA,NA
"one.three.mcmc","null_slp",0.0109083372495861,0.0635517887071191,0.052643451457533,0.0298932865390973,NA,NA,NA
"one.three.vb.mf","spp_int",-0.2921576,0.4128498,0.7687691043,-0.0189444378676222,0.227975177667855,47,3
"one.three.vb.mf","spp_slp",-1.240682,-0.31237485,0.8068707148635,-0.144705472627122,0.22003411443771,49,1
"one.three.vb.mf","mean_int",-0.155874075,0.075278625,0.2311527,-0.0425350032843,NA,NA,NA
"one.three.vb.mf","mean_slp",-0.2702943,0.107585675,0.377879975,-0.083951075118,NA,NA,NA
"one.three.vb.mf","lam_int",0.0276445675,0.581609575,0.5539650075,0.2145277236,NA,NA,NA
"one.three.vb.mf","lam_slp",0.220386775,0.767696475,0.5473097,0.489844706,NA,NA,NA
"one.three.vb.mf","null_int",0.014456195,0.0345343025,0.0200781075,0.022473129,NA,NA,NA
"one.three.vb.mf","null_slp",0.0241711525,0.0530805625,0.02890941,0.0364970356,NA,NA,NA
"one.three.vb.fr","spp_int",-0.59151135,0.749214525,1.1627624412945,-0.006409830316351,0.169936212001607,50,0
"one.three.vb.fr","spp_slp",-2.86202675,-0.835585625,1.2341476295985,-0.133875462374476,0.301616643881714,49,1
"one.three.vb.fr","mean_int",-0.5718092,0.594571675,1.166380875,0.002247782286,NA,NA,NA
"one.three.vb.fr","mean_slp",-0.9447251,0.681547675,1.626272775,-0.11845962667,NA,NA,NA
"one.three.vb.fr","lam_int",0.500288,0.966089675,0.465801675,0.818150399,NA,NA,NA
"one.three.vb.fr","lam_slp",0.3337168,0.9818929,0.6481761,0.793426382,NA,NA,NA
"one.three.vb.fr","null_int",0.1093542,0.531274325,0.421920125,0.2589298195,NA,NA,NA
"one.three.vb.fr","null_slp",0.283763475,1.5899095,1.306146025,0.762054122,NA,NA,NA
"two.one.mcmc","spp_int",-0.512169665898892,0.34830264489591,0.956191979860156,-0.092790010667,0.201941825209198,49,1
"two.one.mcmc","spp_slp",-0.799531698643514,0.0897136345563414,1.03822668530333,0.0229784739584844,0.349287234920014,48,2
"two.one.mcmc","mean_int",-0.346008189264241,0.154784353562648,0.500792542826889,-0.0926350406980868,NA,NA,NA
"two.one.mcmc","mean_slp",-0.14194680813465,0.210320299974913,0.352267108109563,0.0344607877042585,NA,NA,NA
"two.one.mcmc","phy_int",0.000629399638475562,0.0989100953073366,0.098280695668861,0.0272453071984629,NA,NA,NA
"two.one.mcmc","phy_slp",0.000162979454521197,0.0352768835945918,0.0351139041400706,0.00878409698698474,NA,NA,NA
