"model","parameter","ci_lower","ci_upper","ci_width_mean","point_estimate","RMSE","CI_True","CI_False"
"one.two.mcmc","spp_int",-0.82670494143341,0.168316422312513,0.993737074403025,-0.0493170792608455,0.254564900185042,50,0
"one.two.mcmc","spp_slp",-0.630860565890734,0.321614763434725,0.948501798877113,-0.0932510288858727,0.216690338551725,46,4
"one.two.vb.mf","spp_int",-0.74276555,0.191843775,1.0266309222,-0.051701010133046,0.265660165647962,50,0
"one.two.vb.mf","spp_slp",-0.5980193,0.36692725,0.98077550046,-0.09651930122512,0.215146239947035,49,1
"one.two.vb.fr","spp_int",-0.777748875,0.224553275,1.05182849361,-0.0507477599783332,0.257861977970539,50,0
"one.two.vb.fr","spp_slp",-0.646659525,0.451003725,1.047056021155,-0.0902833947940382,0.216907708443866,50,0
"one.three.mcmc","spp_int",-0.677377368690781,0.172191167245651,0.83314200268525,-0.0656788903489178,0.223903935289131,46,4
"one.three.mcmc","spp_slp",-0.601759125776471,0.11450428075329,0.746403906472867,-0.114948202242237,0.184962504658674,47,3
"one.three.mcmc","mean_int",-0.240513497117284,0.11405617351187,0.354569670629154,-0.0632561969614791,NA,NA,NA
"one.three.mcmc","mean_slp",-0.297770596866178,0.17129955618826,0.469070153054438,-0.0759674544392527,NA,NA,NA
"one.three.mcmc","lam_int",0.0117443257043392,0.688597159629665,0.676852833925326,0.255223591498467,NA,NA,NA
"one.three.mcmc","lam_slp",0.0365243819658598,0.934438320006115,0.897913938040255,0.51033314321018,NA,NA,NA
"one.three.mcmc","null_int",0.0115717442816583,0.0645757846810941,0.0530040403994359,0.0319960991537424,NA,NA,NA
"one.three.mcmc","null_slp",0.0101971525519675,0.0676236590427261,0.0574265064907585,0.0317283281653341,NA,NA,NA
"one.three.vb.mf","spp_int",-0.7019867,0.1497905,0.8857211121,-0.0607044352275164,0.227476209795194,48,2
"one.three.vb.mf","spp_slp",-0.58648515,0.164582125,0.811492573235,-0.111282785541705,0.18815176401611,48,2
"one.three.vb.mf","mean_int",-0.217103725,0.09189871,0.309002435,-0.0666842349871,NA,NA,NA
"one.three.vb.mf","mean_slp",-0.3022651,0.0567026575,0.3589677575,-0.116169806051,NA,NA,NA
"one.three.vb.mf","lam_int",0.0317466425,0.573467175,0.5417205325,0.21261189544,NA,NA,NA
"one.three.vb.mf","lam_slp",0.105658725,0.7103232,0.604664475,0.3683973498,NA,NA,NA
"one.three.vb.mf","null_int",0.0245353075,0.0592592175,0.03472391,0.0387846125,NA,NA,NA
"one.three.vb.mf","null_slp",0.023557,0.057212065,0.033655065,0.0375719795,NA,NA,NA
"one.three.vb.fr","spp_int",-0.88764935,0.341810175,1.1698351014545,-0.0581507339234346,0.281652052592532,50,0
"one.three.vb.fr","spp_slp",-0.792187075,0.25176785,1.0799182017,-0.125939327744982,0.221668689972282,49,1
"one.three.vb.fr","mean_int",-0.893169875,0.55593385,1.449103725,-0.166814631415,NA,NA,NA
"one.three.vb.fr","mean_slp",-0.568593175,0.83243605,1.401029225,0.133092015126,NA,NA,NA
"one.three.vb.fr","lam_int",0.3749157,0.95590755,0.58099185,0.746079636,NA,NA,NA
"one.three.vb.fr","lam_slp",0.5746413,0.962717125,0.388075825,0.832517977,NA,NA,NA
"one.three.vb.fr","null_int",0.1351885,0.6787847,0.5435962,0.3492973102,NA,NA,NA
"one.three.vb.fr","null_slp",0.129515175,0.6016117,0.472096525,0.2956077203,NA,NA,NA
"two.one.mcmc","spp_int",-0.549971699602784,0.311184316803014,0.892344043812615,-0.089267755459626,0.256436102564537,47,3
"two.one.mcmc","spp_slp",-0.532072836468862,0.316686493017353,0.983498675931448,-0.00788468215685454,0.210225718824629,50,0
"two.one.mcmc","mean_int",-0.315845590005438,0.128166787720356,0.444012377725794,-0.0869418055307068,NA,NA,NA
"two.one.mcmc","mean_slp",-0.284933194754312,0.155108314053511,0.440041508807823,-0.0469593447419349,NA,NA,NA
"two.one.mcmc","phy_int",0.000567888192012795,0.0654328394328117,0.0648649512407989,0.0176210040426328,NA,NA,NA
"two.one.mcmc","phy_slp",0.000213894163136193,0.0625830474146238,0.0623691532514876,0.0137065605508348,NA,NA,NA
"two.one.mcmc","invphy_int",0.00025288837233978,0.0466055172329788,0.0463526288606391,0.0124745871869942,NA,NA,NA
"two.one.mcmc","invphy_slp",0.0222101418312857,0.147959315274901,0.125749173443615,0.0645298143339628,NA,NA,NA
"two.one.mcmc","null_int",0.00399680252211839,0.162388271115944,0.158391468593826,0.0616016345264572,NA,NA,NA
"two.one.mcmc","null_slp",0.00103443802821744,0.154418347154696,0.153383909126479,0.0501245815791613,NA,NA,NA
"two.one.vb.mf","spp_int",-0.586629125,0.312039325,0.94846577162,-0.089056224031078,0.265228489122467,48,2
"two.one.vb.mf","spp_slp",-0.519670925,0.353387125,0.98749491893,-0.011387632073987,0.216702555992587,50,0
"two.one.vb.mf","mean_int",-0.253779425,0.139150075,0.3929295,-0.0512116864518,NA,NA,NA
"two.one.vb.mf","mean_slp",-0.2942425,0.126925175,0.421167675,-0.088963490323,NA,NA,NA
"two.one.vb.mf","phy_int",0.00242522225,0.0611975199999999,0.0587722977499999,0.017542308332,NA,NA,NA
"two.one.vb.mf","phy_slp",0.00318015125,0.0682787124999999,0.06509856125,0.020052825177,NA,NA,NA
"two.one.vb.mf","invphy_int",0.000470747425,0.0434521349999999,0.0429813875749999,0.009127471024,NA,NA,NA
"two.one.vb.mf","invphy_slp",0.0253914525,0.127083625,0.1016921725,0.0634908174,NA,NA,NA
"two.one.vb.mf","null_int",0.0532673575,0.172649575,0.1193822175,0.0992631435,NA,NA,NA
"two.one.vb.mf","null_slp",0.02619428,0.199674425,0.173480145,0.0821080351,NA,NA,NA
"two.one.vb.fr","spp_int",-0.689118175,0.4719888,1.21696613495,-0.0795696367457214,0.333395106864318,45,5
"two.one.vb.fr","spp_slp",-0.6116877,0.477895675,1.25948928287,-0.042540380553214,0.478639949931275,47,3
"two.one.vb.fr","mean_int",-0.67173165,0.598021875,1.269753525,-0.025817014822,NA,NA,NA
"two.one.vb.fr","mean_slp",-0.894382175,0.985655125,1.8800373,0.0041505714159,NA,NA,NA
"two.one.vb.fr","phy_int",0.05215124,0.531187175,0.479035935,0.2006608235,NA,NA,NA
"two.one.vb.fr","phy_slp",0.325033175,1.64803325,1.323000075,0.804811003,NA,NA,NA
"two.one.vb.fr","invphy_int",0.0067198785,0.19141255,0.1846926715,0.05387529511,NA,NA,NA
"two.one.vb.fr","invphy_slp",0.6384637,2.4524425,1.8139788,1.325635391,NA,NA,NA
"two.one.vb.fr","null_int",0.146620725,0.900684175,0.75406345,0.3982841329,NA,NA,NA
"two.one.vb.fr","null_slp",0.127239375,1.16048525,1.033245875,0.4508345356,NA,NA,NA
"two.two.mcmc","null_sites",1.33607439622473,9.83970242532596,8.50362802910124,6.76903847901914,NA,NA,NA
"two.two.mcmc","inv_sites",0.0094842001636138,1.60065332629744,1.59116912613383,0.373215627151553,NA,NA,NA
"two.two.vb.mf","null_sites",7.093542,9.6774695,2.5839275,8.80212856,NA,NA,NA
"two.two.vb.mf","inv_sites",0.025163835,1.97501975,1.949855915,0.41549408522,NA,NA,NA
"two.two.vb.fr","null_sites",3.5257165,5.843855,2.3181385,4.66183251,NA,NA,NA
"two.two.vb.fr","inv_sites",0.01524232,1.09493225,1.07968993,0.24586539955,NA,NA,NA
"three.one.mcmc.base","spp_int",-0.84075107605933,0.280917494989046,1.09355268222197,0.0938293223018444,0.877888764098655,3,7
"three.one.mcmc.base","spp_slp",0.843130251933958,1.9263098814582,0.987743531470667,-0.218704190346962,0.888465123879006,4,6
"three.one.mcmc.base","partner_int",-0.0745013898846438,0.0704656354156094,0.126470339359789,0.00567457853957062,0.368019537441722,0,10
"three.one.mcmc.base","mean_int",-0.606954669007837,0.703068049903357,1.31002271891119,0.0580723252321215,NA,NA,NA
"three.one.mcmc.base","mean_slp",-0.764251883734934,0.59829821022339,1.36255009395832,-0.124215033967416,NA,NA,NA
"three.one.mcmc.base","lam_int",0.00868475316779203,0.656079301019041,0.647394547851249,0.229919240910921,NA,NA,NA
"three.one.mcmc.base","lam_slp",0.0198107120842577,0.698623569209864,0.678812857125606,0.301134646820495,NA,NA,NA
"three.one.mcmc.base","null_int",0.19632309661263,1.06160952638003,0.865286429767403,0.509209661264075,NA,NA,NA
"three.one.mcmc.base","null_slp",0.260412120921385,1.08233189525362,0.821919774332235,0.576008402145231,NA,NA,NA
"three.one.mcmc.base","mean_partner_int",-0.0543707650875685,0.0579904309652163,0.112361196052785,0.00662334598417997,NA,NA,NA
"three.one.mcmc.base","lam_partner_int",0.0240418691024957,0.92528495524814,0.901243086145644,0.396478800868015,NA,NA,NA
"three.one.mcmc.base","null_partner_int",2.38610125426521e-05,0.00319395789687061,0.00317009688432796,0.000545669839431305,NA,NA,NA
"three.one.vb.base.mf","spp_int",-0.7781581,0.159866425,0.8967679275,0.1242658129395,0.878763999466659,3,7
"three.one.vb.base.mf","spp_slp",0.9171067,1.91473675,0.9514714,-0.215081211091,0.880902764209455,4,6
"three.one.vb.base.mf","partner_int",-0.09539766,0.086069715,0.1213816165,0.000881955660911,0.373424854987826,0,10
"three.one.vb.base.mf","mean_int",-0.46924485,0.706473925,1.175718775,0.119549273551,NA,NA,NA
"three.one.vb.base.mf","mean_slp",-0.852758975,0.455055725,1.3078147,-0.1943204561295,NA,NA,NA
"three.one.vb.base.mf","lam_int",0.018851465,0.6682139,0.649362435,0.20896466242,NA,NA,NA
"three.one.vb.base.mf","lam_slp",0.0346335575,0.812716875,0.7780833175,0.31262607881,NA,NA,NA
"three.one.vb.base.mf","null_int",0.23615255,1.03529175,0.7991392,0.522910646,NA,NA,NA
"three.one.vb.base.mf","null_slp",0.243127975,1.06477175,0.821643775,0.565512354,NA,NA,NA
"three.one.vb.base.mf","mean_partner_int",-0.02767258,0.0656836475,0.0933562275,0.01708005394397,NA,NA,NA
"three.one.vb.base.mf","lam_partner_int",0.04291564,0.839161675,0.796246035,0.3660708888,NA,NA,NA
"three.one.vb.base.mf","null_partner_int",0.0005189693,0.0038908355,0.0033718662,0.00167620996,NA,NA,NA
"three.one.vb.base.fr","spp_int",-1.08465825,0.406672375,1.41451259225,-0.213414312372184,0.922536484763905,6,4
"three.one.vb.base.fr","spp_slp",0.77582195,2.05313425,1.19525486395,-0.1846978942803,0.829841311391402,4,6
"three.one.vb.base.fr","partner_int",-0.275617175,0.856831925,0.36336145225,0.08510793538704,0.281738409312543,3,7
"three.one.vb.base.fr","mean_int",-0.7763765,0.979691325,1.756067825,0.069524141968,NA,NA,NA
"three.one.vb.base.fr","mean_slp",-0.861363375,0.69038665,1.551750025,-0.0838540844442,NA,NA,NA
"three.one.vb.base.fr","lam_int",0.0503289425,0.89058155,0.8402526075,0.4012192316,NA,NA,NA
