"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.499907046551179,0,20.3779344558716
"one.two.vb.mf",0.58541987862711,0,13.6562736034393
"one.two.vb.fr",0.499139207511317,0,16.3524088859558
"one.three.mcmc",0.39872225917498,0,26.2880887985229
"one.three.vb.mf",0.402327571114303,0,20.2881326675415
"one.three.vb.fr",0.513912527571628,0,23.5629358291626
"two.one.mcmc",0.498035470509821,0,28.2905352115631
"two.one.vb.mf",0.464173310150889,0,21.3053233623505
"two.one.vb.fr",0.465683789105336,0,24.8771216869354
"two.two.mcmc",1.02523379238333,0.288888888888889,883.723906755447
"two.two.vb.mf",1.24893273509721,0.595555555555556,107.118658304214
"two.two.vb.fr",1.02503628946132,0.0888888888888889,126.124708652496
"three.one.mcmc.base",0.490874550786054,0,17.9578471183777
"three.one.vb.base.mf",0.819695032102834,0.008,4.38346743583679
"three.one.vb.base.fr",0.8414469955488,0.011,3.6987087726593
"three.one.mcmc.partner",0.526652663763946,0,18.1309335231781
"three.one.vb.partner.mf",0.351532459319529,0,4.46390056610107
"three.one.vb.partner.fr",0.375783965137434,0,3.97564125061035
