"model","parameter","ci_lower","ci_upper","ci_width_mean","point_estimate","RMSE","CI_True","CI_False"
"one.two.mcmc","spp_int",-0.321662231028883,0.642316029193396,1.00217029035031,0.0597538072018227,0.203295715630144,48,2
"one.two.mcmc","spp_slp",-0.643013215773362,0.363185629784489,0.996536666173019,-0.206893935872591,0.215576151695404,50,0
"one.two.vb.mf","spp_int",-0.257308425,0.676553625,1.043275946755,0.056902291364864,0.208797395344526,50,0
"one.two.vb.mf","spp_slp",-0.658677475,0.309239125,1.03129038283,-0.205388347313927,0.218289955189747,49,1
"one.two.vb.fr","spp_int",-0.33122545,0.669139475,1.077415092375,0.06055812410055,0.203131948800601,50,0
"one.two.vb.fr","spp_slp",-0.64142895,0.405001175,1.097034751935,-0.204007184935124,0.215969386402392,50,0
"one.three.mcmc","spp_int",-0.269592780925605,0.749946367919028,1.00811932980692,0.0775643781510272,0.196381780223952,49,1
"one.three.mcmc","spp_slp",-0.537384742088657,0.371092006176439,0.87927266528313,-0.277356986838393,0.16494010394569,50,0
"one.three.mcmc","mean_int",-0.186236439381663,0.287071446655502,0.473307886037165,0.059878505058125,NA,NA,NA
"one.three.mcmc","mean_slp",-0.514930718413314,0.141276840022908,0.656207558436222,-0.199900983881187,NA,NA,NA
"one.three.mcmc","lam_int",0.00666488040784539,0.590651903777914,0.583987023370069,0.1892843412789,NA,NA,NA
"one.three.mcmc","lam_slp",0.410920547424251,0.990741385920189,0.579820838495938,0.782385800236788,NA,NA,NA
"one.three.mcmc","null_int",0.042222147642075,0.153717259818675,0.1114951121766,0.0892053946496225,NA,NA,NA
"one.three.mcmc","null_slp",0.0298216750363547,0.130234981915999,0.100413306879645,0.0698229352113211,NA,NA,NA
"one.three.vb.mf","spp_int",-0.26346835,0.7093998,1.038038196834,0.07886127878003,0.197728965634587,49,1
"one.three.vb.mf","spp_slp",-0.5437481,0.36167845,0.930519459395,-0.279623000418622,0.166749693125341,50,0
"one.three.vb.mf","mean_int",-0.1342994,0.265219675,0.399519075,0.0684704905605,NA,NA,NA
"one.three.vb.mf","mean_slp",-0.52539565,0.12917985,0.6545755,-0.202866153786,NA,NA,NA
"one.three.vb.mf","lam_int",0.0135113675,0.568296875,0.5547855075,0.17078424155,NA,NA,NA
"one.three.vb.mf","lam_slp",0.405030075,0.846463825,0.44143375,0.647099119,NA,NA,NA
"one.three.vb.mf","null_int",0.0594062125,0.134661675,0.0752554625,0.091783969,NA,NA,NA
"one.three.vb.mf","null_slp",0.0468100575,0.111691225,0.0648811675,0.075158631,NA,NA,NA
"one.three.vb.fr","spp_int",-0.384605125,0.705463275,1.1881911562,0.0484054138652406,0.231714255436208,49,1
"one.three.vb.fr","spp_slp",-0.7491742,0.3975312,1.20054168755,-0.278884853782786,0.198181607419377,50,0
"one.three.vb.fr","mean_int",-0.371701175,0.341698775,0.71339995,-0.011411298748,NA,NA,NA
"one.three.vb.fr","mean_slp",-0.6956409,0.1691661,0.864807,-0.2668451789551,NA,NA,NA
