"model","parameter","ci_lower","ci_upper","ci_width_mean","point_estimate","RMSE","CI_True","CI_False"
"one.two.mcmc","spp_int",-0.782270474943896,0.144720497261927,0.998433767001495,0.0362620295205925,0.233207391888783,47,3
"one.two.mcmc","spp_slp",-0.564580979574972,0.479784241029327,1.02533461832748,0.0822930733332409,0.250500826803433,49,1
"one.two.vb.mf","spp_int",-0.901477175,0.11296715,1.0290003345751,0.0303458039985682,0.234605776835953,47,3
"one.two.vb.mf","spp_slp",-0.5058195,0.56865075,1.06088000015,0.087447421102432,0.255609733138205,48,2
"one.two.vb.fr","spp_int",-0.85258975,0.190138425,1.0634104748,0.0342908803689768,0.232759029819993,48,2
"one.two.vb.fr","spp_slp",-0.570738275,0.54136525,1.1269603208,0.0825206162870626,0.248834658971701,49,1
"one.three.mcmc","spp_int",-0.738473455287592,0.172817311118324,0.964924484419023,0.0458838691250251,0.229251582216054,47,3
"one.three.mcmc","spp_slp",-0.335759535199926,0.477187434137746,0.800734618686993,0.10895420152185,0.225681482095678,46,4
"one.three.mcmc","mean_int",-0.189228071997714,0.274201756047039,0.463429828044752,0.0377249353627295,NA,NA,NA
"one.three.mcmc","mean_slp",-0.108737539420494,0.267731631242685,0.376469170663179,0.0937416016446735,NA,NA,NA
"one.three.mcmc","lam_int",0.00492066575765476,0.693466961120673,0.688546295363018,0.231458579842996,NA,NA,NA
"one.three.mcmc","lam_slp",0.0635646250546276,0.953791915727123,0.890227290672496,0.518207105788845,NA,NA,NA
"one.three.mcmc","null_int",0.036237498454443,0.129661847889893,0.0934243494354497,0.0716434171757641,NA,NA,NA
"one.three.mcmc","null_slp",0.00912807078803614,0.0634946509202874,0.0543665801322513,0.0292583336542194,NA,NA,NA
"one.three.vb.mf","spp_int",-0.736807575,0.207932275,0.99371718485,0.04534133694956,0.228577050897083,46,4
"one.three.vb.mf","spp_slp",-0.4285548,0.52750015,0.87275046815,0.103483241460254,0.222293051282116,49,1
"one.three.vb.mf","mean_int",-0.16558945,0.180282325,0.345871775,0.013997512599,NA,NA,NA
"one.three.vb.mf","mean_slp",-0.05920063,0.276681225,0.335881855,0.104772002715,NA,NA,NA
"one.three.vb.mf","lam_int",0.0277821975,0.5145289,0.4867467025,0.18717978061,NA,NA,NA
"one.three.vb.mf","lam_slp",0.10912065,0.67127375,0.5621531,0.3388507236,NA,NA,NA
"one.three.vb.mf","null_int",0.0459505875,0.1113544,0.0654038125,0.07241115,NA,NA,NA
"one.three.vb.mf","null_slp",0.02298631,0.053122255,0.030135945,0.0358355566,NA,NA,NA
"one.three.vb.fr","spp_int",-0.9358455,0.2120154,1.15372284625,0.0272437523821648,0.246850645091583,48,2
"one.three.vb.fr","spp_slp",-0.639969675,0.546774325,1.2764292236425,0.093795246203472,0.27665348712718,48,2
"one.three.vb.fr","mean_int",-0.3005401,0.2865855,0.5871256,-0.0037851398845,NA,NA,NA
"one.three.vb.fr","mean_slp",-0.7006501,0.663048675,1.363698775,-0.026015523993,NA,NA,NA
"one.three.vb.fr","lam_int",0.0441946375,0.7253751,0.6811804625,0.29385428276,NA,NA,NA
"one.three.vb.fr","lam_slp",0.0849248225,0.977761675,0.8928368525,0.5937235736,NA,NA,NA
"one.three.vb.fr","null_int",0.068550035,0.239797975,0.17124794,0.1326982412,NA,NA,NA
"one.three.vb.fr","null_slp",0.2435245,1.46835025,1.22482575,0.661365693,NA,NA,NA
"two.one.mcmc","spp_int",-0.631745425511962,0.348408758079076,0.983852425747074,0.0955039988717643,0.217632317946876,49,1
"two.one.mcmc","spp_slp",-0.596356038828195,0.340406993047449,1.05454998926575,0.0160585550086444,0.250738585959503,48,2
"two.one.mcmc","mean_int",-0.233640984680801,0.266348628659044,0.499989613339846,0.0562196669060384,NA,NA,NA
"two.one.mcmc","mean_slp",-0.141934112081463,0.184024590912213,0.325958702993675,0.0297217492126615,NA,NA,NA
"two.one.mcmc","phy_int",0.000462473530446499,0.0988684607650859,0.0984059872346394,0.0264849085522577,NA,NA,NA
"two.one.mcmc","phy_slp",0.000365234808402562,0.0418993384527042,0.0415341036443016,0.0110625833815097,NA,NA,NA
"two.one.mcmc","invphy_int",0.000404866044473441,0.0558385644121223,0.0554336983676489,0.0127323702058853,NA,NA,NA
"two.one.mcmc","invphy_slp",0.0565279131836931,0.240161701704015,0.183633788520322,0.131796709135948,NA,NA,NA
"two.one.mcmc","null_int",0.0252437954954491,0.253040405242798,0.227796609747348,0.118504383596824,NA,NA,NA
"two.one.mcmc","null_slp",0.00155548524642622,0.174467572459424,0.172912087212998,0.0491847378059374,NA,NA,NA
"two.one.vb.mf","spp_int",-0.627541925,0.376456225,1.024956136972,0.0996342106157868,0.21983437351795,49,1
"two.one.vb.mf","spp_slp",-0.60647305,0.30870705,1.0981225532,0.0177963036355224,0.259864536916485,49,1
"two.one.vb.mf","mean_int",-0.186022625,0.234060775,0.4200834,0.0239462965936,NA,NA,NA
"two.one.vb.mf","mean_slp",-0.099162805,0.2245098,0.323672605,0.0621872124342,NA,NA,NA
"two.one.vb.mf","phy_int",0.00242965925,0.0759212025,0.07349154325,0.02047086632,NA,NA,NA
"two.one.vb.mf","phy_slp",0.00330386275,0.0544146425,0.05111077975,0.01727101022,NA,NA,NA
"two.one.vb.mf","invphy_int",0.000882649025,0.0578247575,0.056942108475,0.012845125997,NA,NA,NA
"two.one.vb.mf","invphy_slp",0.070101405,0.241217175,0.17111577,0.1381132669,NA,NA,NA
"two.one.vb.mf","null_int",0.086473745,0.25594525,0.169471505,0.1563552576,NA,NA,NA
"two.one.vb.mf","null_slp",0.01008543025,0.2526075,0.24252206975,0.06794557643,NA,NA,NA
"two.one.vb.fr","spp_int",-0.816411375,0.323019,1.2261235967,0.0792682429797404,0.214308472455463,50,0
"two.one.vb.fr","spp_slp",-0.845574425,0.38187005,1.3497675804,-0.00970824005558222,0.303915712409583,50,0
"two.one.vb.fr","mean_int",-0.433317725,0.39744185,0.830759575,-0.018394350683,NA,NA,NA
"two.one.vb.fr","mean_slp",-0.419716575,0.4844302,0.904146775,0.021813923889,NA,NA,NA
"two.one.vb.fr","phy_int",0.03012927,0.2705003,0.24037103,0.1065810254,NA,NA,NA
"two.one.vb.fr","phy_slp",0.0236421275,0.3695136,0.3458714725,0.116594317,NA,NA,NA
"two.one.vb.fr","invphy_int",0.0320889225,0.295376075,0.2632871525,0.1156376444,NA,NA,NA
"two.one.vb.fr","invphy_slp",0.0237443,0.348945075,0.325200775,0.11372118653,NA,NA,NA
"two.one.vb.fr","null_int",0.0298829525,0.51014735,0.4802643975,0.1571432449,NA,NA,NA
"two.one.vb.fr","null_slp",0.2862685,1.40583375,1.11956525,0.671972067,NA,NA,NA
"two.two.mcmc","null_sites",1.20107875835552,9.78302901114147,8.58195025278595,5.51710142441217,NA,NA,NA
"two.two.mcmc","inv_sites",0.108715462186702,8.95462341639864,8.84590795421194,3.28464624319338,NA,NA,NA
"two.two.vb.mf","null_sites",6.72567675,9.73552225,3.0098455,8.73740344,NA,NA,NA
"two.two.vb.mf","inv_sites",0.317888425,8.42245075,8.104562325,3.5796572105,NA,NA,NA
"two.two.vb.fr","null_sites",2.61466975,4.8176465,2.20297675,3.68650276,NA,NA,NA
"two.two.vb.fr","inv_sites",0.1981329,6.53105125,6.33291835,2.1938232108,NA,NA,NA
"three.one.mcmc.base","spp_int",-2.1150858377596,-0.899814375539262,1.06608072922708,-0.393845922011674,0.878369710820575,2,8
"three.one.mcmc.base","spp_slp",-1.82148402785884,-0.843845668827538,0.798200074714926,-0.311223578033707,0.558688081613807,7,3
"three.one.mcmc.base","partner_int",-0.0952339370446281,0.0979139016508669,0.141774802913988,-0.00645248515111782,0.230038232724597,1,9
"three.one.mcmc.base","mean_int",-0.897322017294549,0.287940606415805,1.18526262371035,-0.304141286420559,NA,NA,NA
"three.one.mcmc.base","mean_slp",-0.859269450703441,0.361290420412137,1.22055987111558,-0.254597212497281,NA,NA,NA
"three.one.mcmc.base","lam_int",0.0186203663937784,0.858504446572465,0.839884080178686,0.352627782979041,NA,NA,NA
"three.one.mcmc.base","lam_slp",0.02874712158674,0.930967117619923,0.902219996033183,0.410052514540614,NA,NA,NA
"three.one.mcmc.base","null_int",0.218362469007127,1.018206143988,0.799843674980872,0.532754376488608,NA,NA,NA
"three.one.mcmc.base","null_slp",0.109378155944193,0.771701427371155,0.662323271426962,0.327201108885576,NA,NA,NA
"three.one.mcmc.base","mean_partner_int",-0.0694349120836512,0.0514619525551991,0.12089686463885,-0.00630713725572964,NA,NA,NA
"three.one.mcmc.base","lam_partner_int",0.0194996059579849,0.912809333533348,0.893309727575364,0.384948247334951,NA,NA,NA
"three.one.mcmc.base","null_partner_int",9.7115382726685e-05,0.0104626847425875,0.0103655693598608,0.00204177913149218,NA,NA,NA
"three.one.vb.base.mf","spp_int",-2.014391,-0.99810355,0.884714104275,-0.39120958764657,0.881109501487392,1,9
