"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.463911665570109,0,21.3678150177002
"one.two.vb.mf",0.387602155445788,0,13.4095077514648
"one.two.vb.fr",0.395941627927839,0,16.840030670166
"one.three.mcmc",0.402430024826295,0,31.2585816383362
"one.three.vb.mf",0.419739607477063,0,22.0367105007172
"one.three.vb.fr",0.476283321654694,0,27.8420579433441
"two.one.mcmc",0.495403805358009,0,30.4162378311157
"two.one.vb.mf",0.644066920825916,0,21.9064161777496
"two.one.vb.fr",0.594201557634199,0,25.2546451091766
"two.two.mcmc",1.06159066898129,0.337777777777778,598.950741291046
"two.two.vb.mf",1.20077555451414,0.573333333333333,109.356648206711
"two.two.vb.fr",0.858662846234105,0.168888888888889,121.806113243103
"three.one.mcmc.base",0.604106878190591,0,17.4578890800476
"three.one.vb.base.mf",0.691821687956745,0,4.29980659484863
"three.one.vb.base.fr",0.96938108653467,0.015,4.74823355674744
"three.one.mcmc.partner",0.359222111033232,0,18.6416707038879
"three.one.vb.partner.mf",0.389728704215068,0,3.87067174911499
"three.one.vb.partner.fr",0.362607930642622,0,5.17541980743408
