"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.435915729441382,0,19.3815407752991
"one.two.vb.mf",0.440971396580665,0,12.1807646751404
"one.two.vb.fr",0.426757427129282,0,15.2298655509949
"one.three.mcmc",0.566832291218422,0,28.1113264560699
"one.three.vb.mf",0.398666205103725,0,19.7165253162384
"one.three.vb.fr",0.47078177253868,0,22.9842264652252
"two.one.mcmc",0.45599672253486,0,30.1453547477722
"two.one.vb.mf",0.414602530233388,0,23.70179438591
"two.one.vb.fr",0.482837385283745,0,27.9416379928589
"two.two.mcmc",1.03717839452154,0.351111111111111,377.08994436264
"two.two.vb.mf",1.18318929778172,0.6,109.463652849197
"two.two.vb.fr",0.888014834563992,0.168888888888889,131.99752664566
"three.one.mcmc.base",0.382278322340749,0,17.6124551296234
"three.one.vb.base.mf",0.367321469078606,0,4.84147477149963
"three.one.vb.base.fr",0.465930936707868,0,3.62785530090332
"three.one.mcmc.partner",0.398737513823874,0,16.8061759471893
"three.one.vb.partner.mf",0.317960282947264,0,4.05895161628723
"three.one.vb.partner.fr",0.421037361318168,0,4.60168409347534
