"model","parameter","ci_lower","ci_upper","ci_width_mean","point_estimate","RMSE","CI_True","CI_False"
"one.two.mcmc","spp_int",-0.392853789123312,0.666736503978868,1.05258093827169,0.0380041392771169,0.21502204297835,49,1
"one.two.mcmc","spp_slp",-0.892532720075056,0.160817847673582,1.03618306461691,-0.195131821634399,0.2613969008723,47,3
"one.two.vb.mf","spp_int",-0.3436903,0.679423875,1.0350261964,0.040134628642482,0.21835606095481,49,1
"one.two.vb.mf","spp_slp",-0.8511932,0.177590975,1.034217105765,-0.194649857799965,0.260635297479603,48,2
"one.two.vb.fr","spp_int",-0.417938675,0.726012525,1.12033487265,0.0410524876876798,0.214134481272595,50,0
"one.two.vb.fr","spp_slp",-0.861893375,0.195909025,1.13489602009,-0.195314409545896,0.26322271659173,48,2
"one.three.mcmc","spp_int",-0.310975526827171,0.644843619711631,1.01802413334418,0.0194173456868088,0.200585659298082,49,1
"one.three.mcmc","spp_slp",-0.770572263160785,0.141510007374228,0.842828735924203,-0.262165693722528,0.220889686879555,48,2
"one.three.mcmc","mean_int",-0.215011431102912,0.248557306892385,0.463568737995297,0.0199998548949763,NA,NA,NA
"one.three.mcmc","mean_slp",-0.44592241679697,0.0190161267672079,0.464938543564178,-0.215678560709622,NA,NA,NA
"one.three.mcmc","lam_int",0.00647707767266704,0.58106564654662,0.574588568873953,0.186727108850375,NA,NA,NA
"one.three.mcmc","lam_slp",0.214134318209006,0.986274869137266,0.772140550928261,0.683541580574882,NA,NA,NA
"one.three.mcmc","null_int",0.0506956316541784,0.179698600298861,0.129002968644683,0.102794791347788,NA,NA,NA
"one.three.mcmc","null_slp",0.0199258555608126,0.111847761656571,0.0919219060957588,0.05329544240969,NA,NA,NA
"one.three.vb.mf","spp_int",-0.4083946,0.60472875,1.0232969853525,0.0219296072593478,0.207884927909088,49,1
"one.three.vb.mf","spp_slp",-0.7529696,0.1656765,0.879103887175,-0.268535829569118,0.22116449453916,47,3
"one.three.vb.mf","mean_int",-0.168217275,0.18759075,0.355808025,0.0106339487249,NA,NA,NA
"one.three.vb.mf","mean_slp",-0.404506025,0.0238495924999999,0.4283556175,-0.188506533893,NA,NA,NA
"one.three.vb.mf","lam_int",0.020332085,0.469011375,0.44867929,0.15359892076,NA,NA,NA
