"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.439499210639033,0,20.1015481948853
"one.two.vb.mf",0.389626472669002,0,13.439537525177
"one.two.vb.fr",0.383250701765942,0,17.7423379421234
"one.three.mcmc",0.470874342503433,0,28.4014570713043
"one.three.vb.mf",0.358870816159352,0,19.5969414710999
"one.three.vb.fr",0.48974224439513,0,24.0116493701935
"two.one.mcmc",2.43885064881033,0.0164,60.390073299408
"two.one.vb.mf",0.662659017729387,0,22.5461523532867
"two.one.vb.fr",0.687687419527135,0,25.149482011795
"two.two.mcmc",1.03401173644743,0.28,375.326387166977
"two.two.vb.mf",1.19121452872749,0.626666666666667,109.304887533188
"two.two.vb.fr",0.964053208909053,0.124444444444444,127.239705562592
"three.one.mcmc.base",0.418372859978237,0,18.2249691486359
"three.one.vb.base.mf",0.377459047620607,0,5.40168070793152
"three.one.vb.base.fr",0.505992825711496,0,4.04841876029968
"three.one.mcmc.partner",Inf,0.039,16.1721096038818
"three.one.vb.partner.mf",0.354000976431075,0,5.49379467964172
"three.one.vb.partner.fr",0.460558497061671,0,4.81727170944214
