"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.412718528676618,0,20.2298061847687
"one.two.vb.mf",0.450663833541725,0,12.5065205097198
"one.two.vb.fr",0.41325849332384,0,19.1662666797638
"one.three.mcmc",0.429436075025138,0,26.2646856307983
"one.three.vb.mf",0.473577753050616,0,19.4496021270752
"one.three.vb.fr",0.489754858533597,0,25.55743932724
"two.one.mcmc",0.422201968405387,0,28.5806839466095
"two.one.vb.mf",0.477741083312504,0,21.5420987606049
"two.one.vb.fr",0.458531974037377,0,24.4222247600555
"two.two.mcmc",1.10523197368646,0.217777777777778,386.409900903702
"two.two.vb.mf",1.17651994773271,0.693333333333333,108.528380632401
"two.two.vb.fr",0.888509610243959,0.155555555555556,127.640590429306
"three.one.mcmc.base",0.432310307244889,0,18.6185252666473
"three.one.vb.base.mf",0.544851781693952,0,4.41497850418091
"three.one.vb.base.fr",0.36068382777071,0,4.80894804000854
"three.one.mcmc.partner",0.362392296408348,0,16.4111425876617
"three.one.vb.partner.mf",0.363062893006319,0,4.37927412986755
"three.one.vb.partner.fr",0.389806617213326,0,3.83028364181519
