"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.452896982252702,0,21.0384519100189
"one.two.vb.mf",0.423887256020334,0,13.7580554485321
"one.two.vb.fr",0.51170892253437,0,15.9603233337402
"one.three.mcmc",0.463962194082757,0,26.4661326408386
"one.three.vb.mf",0.388924530756778,0,19.823714017868
"one.three.vb.fr",0.591210553391911,0,22.4304184913635
"two.one.mcmc",0.564844951885845,0,27.0341095924377
"two.one.vb.mf",0.453400924159113,0,21.5260710716248
"two.one.vb.fr",0.498414073514829,0,25.5699870586395
"two.two.mcmc",1.0887260051593,0.217777777777778,459.60896229744
"two.two.vb.mf",1.15731245158587,0.591111111111111,109.212436199188
"two.two.vb.fr",0.845775333544094,0.111111111111111,124.144428253174
"three.one.mcmc.base",0.524383425965687,0,17.261666059494
"three.one.vb.base.mf",0.438706816972054,0,4.55835056304932
"three.one.vb.base.fr",0.873689837109754,0.004,4.72670578956604
"three.one.mcmc.partner",0.385881641834979,0,16.3405447006226
"three.one.vb.partner.mf",0.357157226861347,0,4.61734390258789
"three.one.vb.partner.fr",0.386731641813167,0,4.27227854728699
