"model","max_k","prop_bad_k","elapsed_time_sec"
"one.two.mcmc",0.508773621248763,0,20.7431371212006
"one.two.vb.mf",0.4373146349909,0,13.4658567905426
"one.two.vb.fr",0.468770550907025,0,16.6490004062653
"one.three.mcmc",0.382711169561277,0,27.0540332794189
"one.three.vb.mf",0.436451722151073,0,20.0522034168243
"one.three.vb.fr",0.553028456419002,0,23.9735171794891
"two.one.mcmc",0.512848283119876,0,28.9029986858368
"two.one.vb.mf",0.701807926158541,4e-04,21.7117040157318
"two.one.vb.fr",0.745738448222252,4e-04,26.1195216178894
"two.two.mcmc",1.10209415267811,0.226666666666667,449.321550369263
"two.two.vb.mf",1.14017052490894,0.657777777777778,115.471359014511
"two.two.vb.fr",0.835127722453103,0.146666666666667,129.007230997086
"three.one.mcmc.base",0.543130827304938,0,18.4359118938446
"three.one.vb.base.mf",0.549167657154442,0,7.13023662567139
"three.one.vb.base.fr",0.95295842411149,0.007,4.43896579742432
"three.one.mcmc.partner",0.363759343316345,0,18.9871296882629
"three.one.vb.partner.mf",0.352565051918746,0,4.98962783813477
"three.one.vb.partner.fr",0.427947206140296,0,4.3344988822937
