"model","parameter","ci_lower","ci_upper","ci_width_mean","point_estimate","RMSE","CI_True","CI_False"
"two.two.mcmc","null_sites",2.00987205843671,9.85406907750633,7.84419701906962,6.9332518742304,NA,NA,NA
"two.two.mcmc","inv_sites",0.00549681195788949,0.74782445438262,0.742327642424731,0.196187815833793,NA,NA,NA
"two.two.vb.mf","null_sites",8.017408,9.82303925,1.80563125,9.26082315,NA,NA,NA
"two.two.vb.mf","inv_sites",0.01785787,1.26780475,1.24994688,0.26659689082,NA,NA,NA
"two.two.vb.fr","null_sites",1.48897425,7.0246025,5.53562825,4.097598453,NA,NA,NA
"two.two.vb.fr","inv_sites",0.288935475,5.31496375,5.026028275,1.8899353772,NA,NA,NA
